Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,,Month,Sumber Poin,Total
LP-7O97RRUP79D-201,7O97RRUP79D,LOG-201,8/9/2024 20:32,Top Up OVO,2,Jumlah uang: 44430,19,8/9/2025 20:32,,,,
LP-XLR1G4HMN21-202,XLR1G4HMN21,LOG-202,8/9/2024 21:06,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 296348,6,8/9/2025 21:06,,,,
LP-XLR1G4HMN21-203,XLR1G4HMN21,LOG-203,8/9/2024 21:55,Top Up OVO,2,Jumlah uang: 148950,8,8/9/2025 21:55,,,,
LP-5KPJMHMXP61-204,5KPJMHMXP61,LOG-204,8/9/2024 22:53,Transfer ke Bank Permata (Non BI-Fast),2,Jumlah uang: 371602,15,8/9/2025 22:53,,,,
LP-O70ABYZUZV5-207,O70ABYZUZV5,LOG-207,8/10/2024 0:26,Top Up LinkAja,2,Jumlah uang: 51839,8,8/10/2025 0:26,,,,
LP-QX2FG9YB3ZG-208,QX2FG9YB3ZG,LOG-208,8/10/2024 1:13,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 305299,13,8/10/2025 1:13,,,,
LP-A10BLCYC900-210,A10BLCYC900,LOG-210,8/10/2024 3:35,Pembayaran Virtual Account Bibit,1,Jumlah uang: 563303,13,8/10/2025 3:35,,,,
LP-2PNKXNUSK1V-211,2PNKXNUSK1V,LOG-211,8/10/2024 6:44,BPJS,1,Jumlah uang: 56108,6,8/10/2025 6:44,,,,
LP-8TB51RBIF7X-212,8TB51RBIF7X,LOG-212,8/10/2024 7:19,Pembayaran QRIS di Wheels Coffee Roaster,1,Jumlah uang: 78905,14,8/10/2025 7:19,,,,
LP-TDXXP45N2PU-213,TDXXP45N2PU,LOG-213,8/10/2024 9:11,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 300451,13,8/10/2025 9:11,,,,
LP-TDXXP45N2PU-214,TDXXP45N2PU,LOG-214,8/10/2024 10:57,Transfer ke Bank CIMB Niaga (BI-Fast),2,Jumlah uang: 152078,15,8/10/2025 10:57,,,,
LP-5HHIFOTVV0X-215,5HHIFOTVV0X,LOG-215,8/10/2024 11:12,Top Up LinkAja,2,Jumlah uang: 173746,10,8/10/2025 11:12,,,,
LP-A10BLCYC900-216,A10BLCYC900,LOG-216,8/10/2024 14:25,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 54849,14,8/10/2025 14:25,,,,
LP-V629IE46K90-217,V629IE46K90,LOG-217,8/10/2024 14:43,Top Up GoPay,2,Jumlah uang: 190593,11,8/10/2025 14:43,,,,
LP-FUU7IV5BU8D-218,FUU7IV5BU8D,LOG-218,8/10/2024 14:56,Transfer ke Bank Sinarmas (Non BI-Fast),1,Jumlah uang: 62155,20,8/10/2025 14:56,,,,
LP-ELP2ZNX2BFE-219,ELP2ZNX2BFE,LOG-219,8/10/2024 15:25,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 97958,1253,8/10/2025 15:25,,,,
LP-V629IE46K90-222,V629IE46K90,LOG-222,8/10/2024 16:23,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 63441,12,8/10/2025 16:23,,,,
LP-FUU7IV5BU8D-223,FUU7IV5BU8D,LOG-223,8/10/2024 18:30,Top Up LinkAja,2,Jumlah uang: 70607,22,8/10/2025 18:30,,,,
LP-5HHIFOTVV0X-224,5HHIFOTVV0X,LOG-224,8/10/2024 18:35,Pembayaran QRIS di Circle K,1,Jumlah uang: 92036,11,8/10/2025 18:35,,,,
LP-8TB51RBIF7X-225,8TB51RBIF7X,LOG-225,8/10/2024 20:54,Whoosh,1,Jumlah uang: 51322,15,8/10/2025 20:54,,,,
LP-O70ABYZUZV5-226,O70ABYZUZV5,LOG-226,8/10/2024 21:55,BFI Finance,1,Jumlah uang: 9565602,9,8/10/2025 21:55,,,,
LP-O70ABYZUZV5-227,O70ABYZUZV5,LOG-227,8/10/2024 22:16,Pembayaran Virtual Account PDAM,1,Jumlah uang: 759840,10,8/10/2025 22:16,,,,
LP-5KPJMHMXP61-229,5KPJMHMXP61,LOG-229,8/11/2024 1:44,Top Up OVO,2,Jumlah uang: 192218,17,8/11/2025 1:44,,,,
LP-V629IE46K90-230,V629IE46K90,LOG-230,8/11/2024 1:58,XL,1,Jumlah uang: 122567,13,8/11/2025 1:58,,,,
LP-5KPJMHMXP61-231,5KPJMHMXP61,LOG-231,8/11/2024 3:11,Pembayaran Virtual Account PDAM,1,Jumlah uang: 899076,18,8/11/2025 3:11,,,,
LP-XQ6HQIGI3JX-232,XQ6HQIGI3JX,LOG-232,8/11/2024 3:27,Pembayaran Virtual Account PDAM,1,Jumlah uang: 187444,12,8/11/2025 3:27,,,,
LP-QX2FG9YB3ZG-233,QX2FG9YB3ZG,LOG-233,8/11/2024 4:08,Top Up ShopeePay,2,Jumlah uang: 72127,15,8/11/2025 4:08,,,,
LP-XLR1G4HMN21-235,XLR1G4HMN21,LOG-235,8/11/2024 5:34,Top Up GoPay,2,Jumlah uang: 168404,10,8/11/2025 5:34,,,,
LP-8TB51RBIF7X-236,8TB51RBIF7X,LOG-236,8/11/2024 5:44,Pembayaran QRIS di Indomart,1,Jumlah uang: 33508,16,8/11/2025 5:44,,,,
LP-2PNKXNUSK1V-237,2PNKXNUSK1V,LOG-237,8/11/2024 6:02,IndiHome,1,Jumlah uang: 478788,7,8/11/2025 6:02,,,,
LP-A10BLCYC900-238,A10BLCYC900,LOG-238,8/11/2024 7:04,Pembayaran QRIS di Alfamart,1,Jumlah uang: 73152,15,8/11/2025 7:04,,,,
LP-2PNKXNUSK1V-239,2PNKXNUSK1V,LOG-239,8/11/2024 7:34,Top Up OVO,2,Jumlah uang: 68053,9,8/11/2025 7:34,,,,
LP-XQ6HQIGI3JX-240,XQ6HQIGI3JX,LOG-240,8/11/2024 8:05,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 77163,13,8/11/2025 8:05,,,,
LP-TDXXP45N2PU-241,TDXXP45N2PU,LOG-241,8/11/2024 8:19,BPJS,1,Jumlah uang: 67162,16,8/11/2025 8:19,,,,
LP-O70ABYZUZV5-242,O70ABYZUZV5,LOG-242,8/11/2024 8:50,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 62626,11,8/11/2025 8:50,,,,
LP-O70ABYZUZV5-243,O70ABYZUZV5,LOG-243,8/11/2024 9:22,Whoosh,1,Jumlah uang: 58426,12,8/11/2025 9:22,,,,
LP-XQ6HQIGI3JX-244,XQ6HQIGI3JX,LOG-244,8/11/2024 10:50,Pembayaran Virtual Account Bibit,1,Jumlah uang: 633148,14,8/11/2025 10:50,,,,
LP-5H1TZ6CG4UM-246,5H1TZ6CG4UM,LOG-246,8/11/2024 12:22,Top Up GoPay,2,Jumlah uang: 161586,13,8/11/2025 12:22,,,,
LP-5H1TZ6CG4UM-247,5H1TZ6CG4UM,LOG-247,8/11/2024 13:27,BPJS,1,Jumlah uang: 61157,14,8/11/2025 13:27,,,,
LP-SMI06O0GLY6-248,SMI06O0GLY6,LOG-248,8/11/2024 13:41,Top Up LinkAja,2,Jumlah uang: 56843,6,8/11/2025 13:41,,,,
LP-FUU7IV5BU8D-250,FUU7IV5BU8D,LOG-250,8/11/2024 14:06,Top Up DANA,2,Jumlah uang: 121029,24,8/11/2025 14:06,,,,
LP-FUU7IV5BU8D-251,FUU7IV5BU8D,LOG-251,8/11/2024 18:21,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 300689,25,8/11/2025 18:21,,,,
LP-0LQ9UVUQE5F-252,0LQ9UVUQE5F,LOG-252,8/11/2024 19:47,KAI,1,Jumlah uang: 136790,5,8/11/2025 19:47,,,,
LP-5KPJMHMXP61-253,5KPJMHMXP61,LOG-253,8/11/2024 20:44,Transfer ke Bank CIMB Niaga (BI-Fast),2,Jumlah uang: 48399,20,8/11/2025 20:44,,,,
LP-SUKK8F1TFQ1-255,SUKK8F1TFQ1,LOG-255,8/11/2024 23:43,Telkom,1,Jumlah uang: 408185,6,8/11/2025 23:43,,,,
LP-V629IE46K90-256,V629IE46K90,LOG-256,8/12/2024 1:56,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 708290,14,8/12/2025 1:56,,,,
LP-QX2FG9YB3ZG-257,QX2FG9YB3ZG,LOG-257,8/12/2024 1:58,Pembayaran Virtual Account PDAM,1,Jumlah uang: 782258,16,8/12/2025 1:58,,,,
LP-XLR1G4HMN21-258,XLR1G4HMN21,LOG-258,8/12/2024 2:10,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 159059,11,8/12/2025 2:10,,,,
LP-5H1TZ6CG4UM-259,5H1TZ6CG4UM,LOG-259,8/12/2024 4:39,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 64967,15,8/12/2025 4:39,,,,
LP-V629IE46K90-260,V629IE46K90,LOG-260,8/12/2024 4:57,Pembayaran Virtual Account PDAM,1,Jumlah uang: 927021,15,8/12/2025 4:57,,,,
LP-QX2FG9YB3ZG-261,QX2FG9YB3ZG,LOG-261,8/12/2024 6:38,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 38921,17,8/12/2025 6:38,,,,
LP-XLR1G4HMN21-263,XLR1G4HMN21,LOG-263,8/12/2024 8:57,BPJS,1,Jumlah uang: 77037,12,8/12/2025 8:57,,,,
LP-0LQ9UVUQE5F-265,0LQ9UVUQE5F,LOG-265,8/12/2024 10:02,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 79492,6,8/12/2025 10:02,,,,
LP-TDXXP45N2PU-266,TDXXP45N2PU,LOG-266,8/12/2024 10:53,Top Up DANA,2,Jumlah uang: 187650,18,8/12/2025 10:53,,,,
LP-QX2FG9YB3ZG-268,QX2FG9YB3ZG,LOG-268,8/12/2024 11:42,Transfer ke Bank OCBC (Non BI-Fast),1,Jumlah uang: 41534,18,8/12/2025 11:42,,,,
LP-A10BLCYC900-269,A10BLCYC900,LOG-269,8/12/2024 12:47,Pembayaran QRIS di Indomart,1,Jumlah uang: 25716,16,8/12/2025 12:47,,,,
LP-7O97RRUP79D-271,7O97RRUP79D,LOG-271,8/12/2024 14:23,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 333178,20,8/12/2025 14:23,,,,
LP-7O97RRUP79D-272,7O97RRUP79D,LOG-272,8/12/2024 15:13,IndiHome,1,Jumlah uang: 730309,21,8/12/2025 15:13,,,,
LP-7O97RRUP79D-273,7O97RRUP79D,LOG-273,8/12/2024 15:52,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 237836,22,8/12/2025 15:52,,,,
LP-A10BLCYC900-274,A10BLCYC900,LOG-274,8/12/2024 16:01,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 45193,17,8/12/2025 16:01,,,,
LP-5HHIFOTVV0X-275,5HHIFOTVV0X,LOG-275,8/12/2024 16:29,Top Up OVO,2,Jumlah uang: 51768,13,8/12/2025 16:29,,,,
LP-O70ABYZUZV5-276,O70ABYZUZV5,LOG-276,8/12/2024 17:48,Top Up ShopeePay,2,Jumlah uang: 25129,14,8/12/2025 17:48,,,,
LP-QX2FG9YB3ZG-277,QX2FG9YB3ZG,LOG-277,8/12/2024 17:58,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 767603,19,8/12/2025 17:58,,,,
LP-2PNKXNUSK1V-278,2PNKXNUSK1V,LOG-278,8/12/2024 19:17,Transfer ke Bank Danamon (BI-Fast),2,Jumlah uang: 455503,11,8/12/2025 19:17,,,,
LP-5H1TZ6CG4UM-279,5H1TZ6CG4UM,LOG-279,8/12/2024 21:24,Top Up GoPay,2,Jumlah uang: 105236,17,8/12/2025 21:24,,,,
LP-NU9QMRMOKTC-280,NU9QMRMOKTC,LOG-280,8/12/2024 21:31,Pembayaran Virtual Account PDAM,1,Jumlah uang: 272004,21,8/12/2025 21:31,,,,
LP-5KPJMHMXP61-282,5KPJMHMXP61,LOG-282,8/13/2024 1:21,Pembayaran QRIS di Circle K,1,Jumlah uang: 76075,21,8/13/2025 1:21,,,,
LP-5KPJMHMXP61-283,5KPJMHMXP61,LOG-283,8/13/2024 1:39,Pembayaran Virtual Account PDAM,1,Jumlah uang: 596263,22,8/13/2025 1:39,,,,
LP-XQ6HQIGI3JX-285,XQ6HQIGI3JX,LOG-285,8/13/2024 3:52,Telkom,1,Jumlah uang: 292089,15,8/13/2025 3:52,,,,
LP-TDXXP45N2PU-286,TDXXP45N2PU,LOG-286,8/13/2024 4:05,Transfer ke Bank BSI (BI-Fast),1,Jumlah uang: 474531,19,8/13/2025 4:05,,,,
LP-TDXXP45N2PU-287,TDXXP45N2PU,LOG-287,8/13/2024 5:01,Top Up OVO,2,Jumlah uang: 28232,21,8/13/2025 5:01,,,,
LP-7O97RRUP79D-289,7O97RRUP79D,LOG-289,8/13/2024 7:04,Pembayaran Virtual Account PDAM,1,Jumlah uang: 525215,23,8/13/2025 7:04,,,,
LP-A10BLCYC900-292,A10BLCYC900,LOG-292,8/13/2024 10:25,Transfer ke Bank BRI (BI-Fast),2,Jumlah uang: 783083,19,8/13/2025 10:25,,,,
LP-XLR1G4HMN21-294,XLR1G4HMN21,LOG-294,8/13/2024 11:00,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 418273,13,8/13/2025 11:00,,,,
LP-2PNKXNUSK1V-295,2PNKXNUSK1V,LOG-295,8/13/2024 12:32,Transvision,1,Jumlah uang: 234491,12,8/13/2025 12:32,,,,
LP-0LQ9UVUQE5F-297,0LQ9UVUQE5F,LOG-297,8/13/2024 14:42,IndiHome,1,Jumlah uang: 762295,7,8/13/2025 14:42,,,,
LP-XQ6HQIGI3JX-299,XQ6HQIGI3JX,LOG-299,8/13/2024 16:29,Telkom,1,Jumlah uang: 408264,16,8/13/2025 16:29,,,,
LP-2PNKXNUSK1V-300,2PNKXNUSK1V,LOG-300,8/13/2024 19:36,Transfer ke Bank BCA (Non BI-Fast),1,Jumlah uang: 452522,13,8/13/2025 19:36,,,,
LP-5H1TZ6CG4UM-302,5H1TZ6CG4UM,LOG-302,8/13/2024 21:02,Top Up LinkAja,2,Jumlah uang: 170645,19,8/13/2025 21:02,,,,
LP-NU9QMRMOKTC-303,NU9QMRMOKTC,LOG-303,8/13/2024 22:36,Top Up DANA,2,Jumlah uang: 135352,23,8/13/2025 22:36,,,,
LP-TDXXP45N2PU-304,TDXXP45N2PU,LOG-304,8/13/2024 23:08,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 772787,22,8/13/2025 23:08,,,,
LP-7O97RRUP79D-305,7O97RRUP79D,LOG-305,8/13/2024 23:50,Transfer ke Bank BSI (Non BI-Fast),1,Jumlah uang: 774668,24,8/13/2025 23:50,,,,
LP-QX2FG9YB3ZG-306,QX2FG9YB3ZG,LOG-306,8/14/2024 0:15,Smartfren,1,Jumlah uang: 283192,20,8/14/2025 0:15,,,,
LP-SUKK8F1TFQ1-308,SUKK8F1TFQ1,LOG-308,8/14/2024 2:16,Transfer ke Bank BNI (BI-Fast),1,Jumlah uang: 821988,7,8/14/2025 2:16,,,,
LP-NU9QMRMOKTC-309,NU9QMRMOKTC,LOG-309,8/14/2024 4:05,Transfer ke Bank OCBC (BI-Fast),1,Jumlah uang: 523261,24,8/14/2025 4:05,,,,
LP-2PNKXNUSK1V-310,2PNKXNUSK1V,LOG-310,8/14/2024 4:20,Top Up DANA,2,Jumlah uang: 175732,15,8/14/2025 4:20,,,,
LP-XLR1G4HMN21-313,XLR1G4HMN21,LOG-313,8/14/2024 5:30,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 81825,14,8/14/2025 5:30,,,,
LP-NU9QMRMOKTC-314,NU9QMRMOKTC,LOG-314,8/14/2024 7:17,Transfer ke Bank BNI (BI-Fast),1,Jumlah uang: 612730,25,8/14/2025 7:17,,,,
LP-NU9QMRMOKTC-315,NU9QMRMOKTC,LOG-315,8/14/2024 8:13,Pembayaran QRIS di Alfamart,1,Jumlah uang: 42956,26,8/14/2025 8:13,,,,
LP-XLR1G4HMN21-318,XLR1G4HMN21,LOG-318,8/14/2024 9:59,Indosat Ooredoo,1,Jumlah uang: 520771,15,8/14/2025 9:59,,,,
LP-XQ6HQIGI3JX-319,XQ6HQIGI3JX,LOG-319,8/14/2024 11:02,BPJS,1,Jumlah uang: 36658,17,8/14/2025 11:02,,,,
LP-0LQ9UVUQE5F-320,0LQ9UVUQE5F,LOG-320,8/14/2024 11:46,Pajak Mobil,1,Jumlah uang: 3460318,8,8/14/2025 11:46,,,,
LP-XLR1G4HMN21-321,XLR1G4HMN21,LOG-321,8/14/2024 13:15,Pembayaran Virtual Account PDAM,1,Jumlah uang: 444647,16,8/14/2025 13:15,,,,
LP-V629IE46K90-322,V629IE46K90,LOG-322,8/14/2024 15:53,Top Up GoPay,2,Jumlah uang: 66184,17,8/14/2025 15:53,,,,
LP-8TB51RBIF7X-323,8TB51RBIF7X,LOG-323,8/14/2024 16:15,Transfer ke Bank CIMB Niaga (Non BI-Fast),2,Jumlah uang: 583577,18,8/14/2025 16:15,,,,
LP-NU9QMRMOKTC-324,NU9QMRMOKTC,LOG-324,8/14/2024 17:22,Transfer ke Bank Mandiri (Non BI-Fast),1,Jumlah uang: 467629,27,8/14/2025 17:22,,,,
LP-SMI06O0GLY6-326,SMI06O0GLY6,LOG-326,8/14/2024 18:54,Pajak Mobil,1,Jumlah uang: 1912051,7,8/14/2025 18:54,,,,
LP-5H1TZ6CG4UM-327,5H1TZ6CG4UM,LOG-327,8/14/2024 19:11,Pembayaran Virtual Account Bibit,1,Jumlah uang: 204926,20,8/14/2025 19:11,,,,
LP-5KPJMHMXP61-331,5KPJMHMXP61,LOG-331,8/15/2024 0:04,Top Up LinkAja,2,Jumlah uang: 117918,24,8/15/2025 0:04,,,,
LP-XQ6HQIGI3JX-332,XQ6HQIGI3JX,LOG-332,8/15/2024 1:44,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 48350,18,8/15/2025 1:44,,,,
LP-V629IE46K90-333,V629IE46K90,LOG-333,8/15/2024 2:51,Transfer ke Bank BCA (Non BI-Fast),1,Jumlah uang: 241066,18,8/15/2025 2:51,,,,
LP-5KPJMHMXP61-334,5KPJMHMXP61,LOG-334,8/15/2024 5:02,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 46757,25,8/15/2025 5:02,,,,
LP-NU9QMRMOKTC-335,NU9QMRMOKTC,LOG-335,8/15/2024 6:11,KAI,1,Jumlah uang: 131490,28,8/15/2025 6:11,,,,
LP-V629IE46K90-336,V629IE46K90,LOG-336,8/15/2024 6:35,Transfer ke Bank BCA (BI-Fast),1,Jumlah uang: 535957,19,8/15/2025 6:35,,,,
LP-XLR1G4HMN21-337,XLR1G4HMN21,LOG-337,8/15/2024 8:32,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 445068,17,8/15/2025 8:32,,,,
LP-SMI06O0GLY6-338,SMI06O0GLY6,LOG-338,8/15/2024 8:43,Pembayaran QRIS di Wheels Coffee Roaster,1,Jumlah uang: 51195,8,8/15/2025 8:43,,,,
LP-7O97RRUP79D-340,7O97RRUP79D,LOG-340,8/15/2024 10:25,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 976677,25,8/15/2025 10:25,,,,
LP-4RXDJLB0N8J-341,4RXDJLB0N8J,LOG-341,8/15/2024 11:49,Telkomsel,1,Jumlah uang: 121958,2,8/15/2025 11:49,,,,
LP-5H1TZ6CG4UM-342,5H1TZ6CG4UM,LOG-342,8/15/2024 14:35,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 50197,21,8/15/2025 14:35,,,,
LP-XLR1G4HMN21-345,XLR1G4HMN21,LOG-345,8/15/2024 19:03,Top Up OVO,2,Jumlah uang: 163231,19,8/15/2025 19:03,,,,
LP-XQ6HQIGI3JX-346,XQ6HQIGI3JX,LOG-346,8/15/2024 19:48,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 92979,19,8/15/2025 19:48,,,,
LP-QX2FG9YB3ZG-347,QX2FG9YB3ZG,LOG-347,8/15/2024 20:31,Transvision,1,Jumlah uang: 329201,21,8/15/2025 20:31,,,,
LP-XQ6HQIGI3JX-348,XQ6HQIGI3JX,LOG-348,8/15/2024 22:19,Whoosh,1,Jumlah uang: 136319,20,8/15/2025 22:19,,,,
LP-8TB51RBIF7X-349,8TB51RBIF7X,LOG-349,8/15/2024 22:27,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 86201,19,8/15/2025 22:27,,,,
LP-QX2FG9YB3ZG-350,QX2FG9YB3ZG,LOG-350,8/15/2024 23:41,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 177137,22,8/15/2025 23:41,,,,
LP-XLR1G4HMN21-351,XLR1G4HMN21,LOG-351,8/16/2024 0:50,Top Up GoPay,2,Jumlah uang: 38275,21,8/16/2025 0:50,,,,
LP-XLR1G4HMN21-352,XLR1G4HMN21,LOG-352,8/16/2024 1:21,Top Up OVO,2,Jumlah uang: 25008,23,8/16/2025 1:21,,,,
LP-SMI06O0GLY6-353,SMI06O0GLY6,LOG-353,8/16/2024 1:34,Transfer ke Bank BNI (BI-Fast),1,Jumlah uang: 483469,9,8/16/2025 1:34,,,,
LP-XQ6HQIGI3JX-354,XQ6HQIGI3JX,LOG-354,8/16/2024 1:44,Top Up ShopeePay,2,Jumlah uang: 191811,22,8/16/2025 1:44,,,,
LP-NU9QMRMOKTC-355,NU9QMRMOKTC,LOG-355,8/16/2024 1:45,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 760641,29,8/16/2025 1:45,,,,
LP-QX2FG9YB3ZG-358,QX2FG9YB3ZG,LOG-358,8/16/2024 10:42,PDAM,1,Jumlah uang: 178075,23,8/16/2025 10:42,,,,
LP-5KPJMHMXP61-359,5KPJMHMXP61,LOG-359,8/16/2024 11:15,Transfer ke Bank BCA (BI-Fast),1,Jumlah uang: 80064,26,8/16/2025 11:15,,,,
LP-8TB51RBIF7X-361,8TB51RBIF7X,LOG-361,8/16/2024 11:56,Top Up OVO,2,Jumlah uang: 146461,21,8/16/2025 11:56,,,,
LP-TDXXP45N2PU-362,TDXXP45N2PU,LOG-362,8/16/2024 13:46,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 596141,23,8/16/2025 13:46,,,,
LP-V629IE46K90-363,V629IE46K90,LOG-363,8/16/2024 14:24,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 30218,20,8/16/2025 14:24,,,,
LP-QX2FG9YB3ZG-364,QX2FG9YB3ZG,LOG-364,8/16/2024 14:52,Pembayaran Virtual Account Bibit,1,Jumlah uang: 537411,24,8/16/2025 14:52,,,,
LP-5HHIFOTVV0X-365,5HHIFOTVV0X,LOG-365,8/16/2024 17:15,Top Up LinkAja,2,Jumlah uang: 180195,15,8/16/2025 17:15,,,,
LP-8TB51RBIF7X-366,8TB51RBIF7X,LOG-366,8/16/2024 18:57,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 799953,22,8/16/2025 18:57,,,,
LP-5HHIFOTVV0X-367,5HHIFOTVV0X,LOG-367,8/16/2024 21:04,SCB,1,Jumlah uang: 9799742,16,8/16/2025 21:04,,,,
LP-XQ6HQIGI3JX-368,XQ6HQIGI3JX,LOG-368,8/16/2024 21:06,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 599018,23,8/16/2025 21:06,,,,
LP-XLR1G4HMN21-369,XLR1G4HMN21,LOG-369,8/16/2024 22:46,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 40877,24,8/16/2025 22:46,,,,
LP-5HHIFOTVV0X-372,5HHIFOTVV0X,LOG-372,8/17/2024 2:12,Top Up GoPay,2,Jumlah uang: 195571,18,8/17/2025 2:12,,,,
LP-2PNKXNUSK1V-373,2PNKXNUSK1V,LOG-373,8/17/2024 3:34,Top Up OVO,2,Jumlah uang: 130969,17,8/17/2025 3:34,,,,
LP-XLR1G4HMN21-374,XLR1G4HMN21,LOG-374,8/17/2024 4:31,Top Up OVO,2,Jumlah uang: 161785,26,8/17/2025 4:31,,,,
LP-5KPJMHMXP61-375,5KPJMHMXP61,LOG-375,8/17/2024 4:55,Top Up OVO,2,Jumlah uang: 107756,28,8/17/2025 4:55,,,,
LP-NU9QMRMOKTC-376,NU9QMRMOKTC,LOG-376,8/17/2024 5:06,Top Up ShopeePay,2,Jumlah uang: 106970,31,8/17/2025 5:06,,,,
LP-O70ABYZUZV5-377,O70ABYZUZV5,LOG-377,8/17/2024 7:08,Top Up GoPay,2,Jumlah uang: 165581,16,8/17/2025 7:08,,,,
LP-O70ABYZUZV5-378,O70ABYZUZV5,LOG-378,8/17/2024 8:04,Transfer ke Bank Sinarmas (BI-Fast),1,Jumlah uang: 478901,17,8/17/2025 8:04,,,,
LP-O70ABYZUZV5-379,O70ABYZUZV5,LOG-379,8/17/2024 8:13,BPJS,1,Jumlah uang: 35668,18,8/17/2025 8:13,,,,
LP-5H1TZ6CG4UM-380,5H1TZ6CG4UM,LOG-380,8/17/2024 9:23,Sriwijaya Air,1,Jumlah uang: 1707567,22,8/17/2025 9:23,,,,
LP-A10BLCYC900-381,A10BLCYC900,LOG-381,8/17/2024 9:48,IndiHome,1,Jumlah uang: 295123,20,8/17/2025 9:48,,,,
LP-8TB51RBIF7X-382,8TB51RBIF7X,LOG-382,8/17/2024 10:27,Pembayaran QRIS di Wheels Coffee Roaster,1,Jumlah uang: 82847,23,8/17/2025 10:27,,,,
LP-FUU7IV5BU8D-384,FUU7IV5BU8D,LOG-384,8/17/2024 11:03,Transfer ke Bank Permata (BI-Fast),2,Jumlah uang: 688197,27,8/17/2025 11:03,,,,
LP-SUKK8F1TFQ1-385,SUKK8F1TFQ1,LOG-385,8/17/2024 13:05,BPJS,1,Jumlah uang: 41969,8,8/17/2025 13:05,,,,
LP-A10BLCYC900-386,A10BLCYC900,LOG-386,8/17/2024 13:20,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 670230,21,8/17/2025 13:20,,,,
LP-8TB51RBIF7X-387,8TB51RBIF7X,LOG-387,8/17/2024 13:48,Telkom,1,Jumlah uang: 478569,24,8/17/2025 13:48,,,,
LP-XQ6HQIGI3JX-388,XQ6HQIGI3JX,LOG-388,8/17/2024 14:22,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 159577,24,8/17/2025 14:22,,,,
LP-QX2FG9YB3ZG-389,QX2FG9YB3ZG,LOG-389,8/17/2024 15:13,Sriwijaya Air,1,Jumlah uang: 1777972,25,8/17/2025 15:13,,,,
LP-V629IE46K90-390,V629IE46K90,LOG-390,8/17/2024 15:37,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 110898,21,8/17/2025 15:37,,,,
LP-NU9QMRMOKTC-391,NU9QMRMOKTC,LOG-391,8/17/2024 15:49,Transfer ke Bank OCBC (BI-Fast),1,Jumlah uang: 48125,32,8/17/2025 15:49,,,,
LP-A10BLCYC900-392,A10BLCYC900,LOG-392,8/17/2024 16:59,Whoosh,1,Jumlah uang: 75169,22,8/17/2025 16:59,,,,
LP-O70ABYZUZV5-393,O70ABYZUZV5,LOG-393,8/17/2024 19:00,PDAM,1,Jumlah uang: 137792,19,8/17/2025 19:00,,,,
LP-O70ABYZUZV5-394,O70ABYZUZV5,LOG-394,8/17/2024 20:49,Transfer ke Bank BCA (BI-Fast),1,Jumlah uang: 266194,20,8/17/2025 20:49,,,,
LP-O70ABYZUZV5-396,O70ABYZUZV5,LOG-396,8/17/2024 21:27,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 94530,21,8/17/2025 21:27,,,,
